enabled,class,ability,description
0,utility,TAUNT_TAUNT,
2,control,STOP_STOP,Stop the unit's current orders.
0,control,STOP_HOLDFIRESPECIAL,
0,control,STOP_CHEER,
0,control,STOP_DANCE,
0,control,STOP_REDIRECT,
0,control,STOP_BUILDING,
0,control,STOP_BATTLECRUISER,
0,control,HOLDPOSITION_HOLD,
0,utility,SCANNERSWEEP_SCAN,
0,movement,SCAN_MOVE,
0,utility,SMART,
0,movement,MOVE_TURN,
0,movement,PATROL,
0,economy,HARVEST_RETURN_SCV,
0,movement,RALLY_BUILDING,
0,movement,RALLY_MORPHING_UNIT,
0,movement,RALLY_COMMANDCENTER,
0,movement,RALLY_NEXUS,
0,movement,RALLY_HATCHERY_UNITS,
0,economy,RALLY_HATCHERY_WORKERS,
0,movement,RALLY_UNITS,
0,economy,RALLY_WORKERS,
0,control,CANCEL_GRAVITONBEAM,
0,control,CANCEL_NEURALPARASITE,
0,control,CANCEL_QUEUE1,
2,control,CANCEL_QUEUE5,Cancel up to five queued production or research orders.
0,control,CANCEL_QUEUECANCELTOSELECTION,
0,control,CANCEL_QUEUEADDON,
2,control,CANCEL_BUILDINPROGRESS,Cancel this unfinished construction or morph.
0,control,CANCEL_BARRACKSADDON,
0,control,CANCEL_FACTORYADDON,
0,control,CANCEL_STARPORTADDON,
0,control,CANCEL_HANGARQUEUE5,
0,control,CANCEL_MORPHLAIR,
0,control,CANCEL_MORPHHIVE,
0,control,CANCEL_MORPHGREATERSPIRE,
0,control,CANCEL_MORPHBROODLORD,
0,control,CANCEL_MORPHOVERSEER,
0,control,CANCEL_MORPHPLANETARYFORTRESS,
0,control,CANCEL_MORPHORBITAL,
0,control,CANCEL_NUKE,
0,control,CANCEL_SPINECRAWLERROOT,
0,control,CANCEL_SPORECRAWLERROOT,
0,control,CANCEL_CREEPTUMOR,
0,control,CANCEL_QUEUEPASIVE,
0,control,CANCEL_QUEUEPASSIVECANCELTOSELECTION,
0,control,CANCEL_MORPHMOTHERSHIP,
0,control,CANCEL_MORPHRAVAGER,
0,control,CANCEL_MORPHLURKER,
0,control,CANCEL_LOCKON,
